Industry,avg_rs_3m,avg_rs_6m,avg_daily_score,avg_weekly_score,avg_combined_score,stock_count,actionable_daily,actionable_weekly,strong_combined,rs_score,rs_rank,current_rank,prev_rank,prev_avg_combined_score,prev_rs_rank,prev_strong_combined,prev_actionable_daily,prev_actionable_weekly,rank_change,combined_score_change,strong_combined_change,actionable_daily_change,actionable_weekly_change,new_cluster
Lodging,6.422,8.358,12.278,32.464999999999996,17.828,10,0,0,0,7.390000000000001,30.357142857142854,39,36,21.055,30.35714285714285,0,0,0,-3,-3.23,0,0,0,False
Consumer Defensive,4.7035294117647055,14.38294117647059,19.89764705882353,25.98235294117647,17.573529411764707,17,0,2,0,9.543235294117647,42.857142857142854,40,38,19.81,48.21428571428572,0,0,2,-2,-2.24,0,0,0,False
Industrials,3.5182608695652173,10.768260869565218,12.92695652173913,30.034782608695654,16.641304347826086,23,0,0,0,7.143260869565218,28.57142857142857,41,41,19.11521739130435,26.785714285714285,0,0,1,0,-2.47,0,0,-1,False
Apparel Manufacturing,1.6030000000000009,11.985,15.538,29.1,16.303,10,0,0,0,6.7940000000000005,26.785714285714285,42,42,17.989,28.57142857142857,0,0,0,0,-1.69,0,0,0,False
"Furnishings, Fixtures & Appliances",1.308235294117647,9.299411764705882,15.94764705882353,26.899411764705885,15.642941176470588,17,0,0,0,5.303823529411765,17.857142857142858,43,43,17.364117647058823,21.428571428571427,0,0,0,0,-1.72,0,0,0,False
Energy,-0.811111111111111,19.200000000000003,18.623333333333335,22.04888888888889,15.052222222222222,9,0,0,0,9.194444444444446,35.714285714285715,44,45,16.87222222222222,42.85714285714285,0,0,0,1,-1.82,0,0,0,False
Biotechnology,-0.40142857142857125,19.342857142857145,14.94,29.844285714285714,14.597142857142858,7,0,0,0,9.470714285714287,39.285714285714285,45,44,17.157142857142855,50.0,0,0,0,-1,-2.56,0,0,0,False
Telecom Services,-6.795714285714285,1.0871428571428572,3.2785714285714285,37.71857142857142,14.027142857142858,7,0,0,0,-2.854285714285714,3.571428571428571,46,46,16.695714285714285,3.571428571428571,0,0,0,0,-2.67,0,0,0,False
Conglomerates,1.3027777777777776,11.955555555555556,11.14611111111111,25.081111111111113,13.991666666666667,18,0,2,0,6.629166666666666,23.214285714285715,47,48,16.084999999999997,25.0,0,0,2,1,-2.09,0,0,0,False
Software - Application,4.052500000000001,27.986666666666665,8.730833333333335,25.015,13.950000000000001,12,0,1,0,16.019583333333333,69.64285714285714,48,47,16.361666666666668,76.78571428571429,0,0,1,-1,-2.41,0,0,0,False
Engineering & Construction,-3.2294285714285715,11.092857142857143,13.473142857142857,24.846857142857143,13.500571428571428,35,0,3,0,3.931714285714286,12.5,49,50,13.97342857142857,12.5,0,0,3,1,-0.47,0,0,0,False
Building Materials,-3.453125,-4.284375,4.5575,27.89875,12.875,16,0,0,0,-3.86875,1.7857142857142856,50,53,12.983125,1.7857142857142856,0,0,0,3,-0.11,0,0,0,False
Insurance - Life,-2.1887499999999998,0.8087500000000001,6.45125,22.25625,11.7875,8,0,0,0,-0.6899999999999998,5.357142857142857,51,52,13.33875,5.357142857142857,0,0,0,1,-1.55,0,0,0,False
Agricultural Inputs,3.287,15.5305,8.654,25.792,11.714,20,0,0,0,9.40875,37.5,52,49,14.020500000000002,35.714285714285715,0,0,0,-3,-2.31,0,0,0,False
Utilities,-9.926428571428572,11.322857142857142,11.823571428571428,14.163571428571428,11.342142857142857,14,0,1,0,0.6982142857142852,7.142857142857142,53,51,13.927857142857144,8.928571428571429,0,0,1,-2,-2.59,0,0,0,False
Household & Personal Products,4.896666666666666,19.349166666666665,10.098333333333334,23.4325,10.12,12,0,0,0,12.122916666666665,53.57142857142857,54,54,12.444166666666668,53.57142857142857,0,0,0,0,-2.32,0,0,0,False
Utilities - Renewable,-6.313750000000001,15.915,7.0525,19.9675,9.0325,8,0,0,0,4.800624999999999,14.285714285714285,55,56,10.36125,16.071428571428573,0,0,0,1,-1.33,0,0,0,False
Solar,-8.656,21.964,0.0,21.35,6.366,5,0,0,0,6.653999999999999,25.0,56,55,11.56,19.642857142857142,0,0,0,-1,-5.19,0,0,0,False
